# Species	Genes	Alg.-Conn.	GCA_001553005.1_ASM155300v1_protein.faa	GCA_001553035.1_ASM155303v1_protein.faa	GCF_000019245.4_ASM1924v3_protein.faa	GCF_000027145.1_ASM2714v1_protein.faa	GCF_000063585.1_ASM6358v1_protein.faa	GCF_000145215.1_ASM14521v1_protein.faa	GCF_000166335.1_ASM16633v1_protein.faa	GCF_000166355.1_ASM16635v1_protein.faa	GCF_000166775.1_ASM16677v1_protein.faa	GCF_000196035.1_ASM19603v1_protein.faa	GCF_000242855.2_ASM24285v2_protein.faa	GCF_000473245.1_ASM47324v1_protein.faa	GCF_000763515.1_ASM76351v1_protein.faa	GCF_000769555.1_ASM76955v1_protein.faa	GCF_000829055.1_ASM82905v1_protein.faa	GCF_001042715.1_ASM104271v1_protein.faa	GCF_001050475.1_ASM105047v1_protein.faa	GCF_001687565.2_ASM168756v2_protein.faa	GCF_001687585.2_ASM168758v2_protein.faa	GCF_001687665.2_ASM168766v2_protein.faa	GCF_001951175.1_ASM195117v1_protein.faa	GCF_001971585.1_ASM197158v1_protein.faa	GCF_002009235.1_ASM200923v1_protein.faa	GCF_002706745.1_ASM270674v1_protein.faa	GCF_003606265.1_ASM360626v1_protein.faa	GCF_003614235.1_ASM361423v1_protein.faa	GCF_003641145.1_ASM364114v1_protein.faa	GCF_003641185.1_ASM364118v1_protein.faa	GCF_003999255.1_ASM399925v1_protein.faa	GCF_004103615.1_ASM410361v1_protein.faa	GCF_004785625.2_ASM478562v2_protein.faa	GCF_006007945.1_ASM600794v1_protein.faa	GCF_007954525.1_ASM795452v1_protein.faa	GCF_007954605.1_ASM795460v1_protein.faa	GCF_007954785.1_ASM795478v1_protein.faa	GCF_009648575.1_ASM964857v1_protein.faa	GCF_009913915.1_ASM991391v1_protein.faa	GCF_012396635.1_ASM1239663v1_protein.faa	GCF_014042035.1_ASM1404203v1_protein.faa	GCF_015234765.1_ASM1523476v1_protein.faa	GCF_016127255.1_ASM1612725v1_protein.faa	GCF_018363075.1_ASM1836307v1_protein.faa	GCF_900120125.1_PRJEB18020_protein.faa	GCF_900187165.1_52121_G02_protein.faa	GCF_900638015.1_54984_A01_protein.faa
33	40	0.282	KXB54987.1	KXB60321.1	WP_013245487.1	WP_012984950.1	WP_003358881.1	*	*	*	*	NP_464088.1	WP_003153413.1,WP_015387545.1	WP_009794817.1	WP_025279768.1	WP_003153413.1,WP_014419156.1	WP_025012770.1	WP_044823251.1,WP_044825585.1	WP_048706225.1	WP_006828546.1	WP_008497671.1	WP_065526778.1	*	WP_076616371.1	WP_058385838.1,WP_071154520.1	WP_010020403.1	WP_066677000.1	WP_003376355.1	WP_171284604.1	WP_175365124.1	*	WP_046129855.1,WP_046131531.1,WP_173427508.1	WP_112224398.1	WP_057814795.1	*	*	*	WP_045554404.1	*	WP_031550855.1	WP_043926775.1,WP_182070271.1	WP_179940624.1	*	*	WP_062171722.1	WP_089864277.1	WP_126320348.1
10	10	0.249	KXB54988.1	*	*	WP_012984674.1	*	*	*	*	*	NP_463686.1	*	WP_009793467.1	WP_025279696.1	*	*	*	*	WP_238323477.1	*	*	*	*	*	*	*	*	*	*	*	WP_046131359.1	*	*	*	*	*	WP_045553675.1	*	*	WP_182070179.1	*	*	*	*	*	WP_126320252.1
37	47	0.103	KXB54990.1	KXB59331.1	WP_003563011.1	WP_012984676.1,WP_012985632.1	WP_011948965.1	*	*	*	*	NP_463688.1,NP_464971.1	WP_003156653.1	WP_009794860.1	WP_014091688.1,WP_025279938.1	WP_007409044.1	WP_010489770.1	*	WP_048705358.1	WP_006830685.1,WP_065536968.1	WP_065527922.1	WP_065526522.1	WP_057866493.1,WP_075887213.1	WP_076614010.1	WP_078080348.1	WP_010018016.1,WP_010021120.1	WP_066677008.1	*	WP_033609531.1	WP_033618651.1	*	WP_046130007.1	WP_112223825.1	WP_057815828.1,WP_187323377.1	WP_014973911.1	WP_048700759.1	WP_036069417.1	WP_003762272.1,WP_033533698.1	WP_002815374.1,WP_011679581.1	WP_031552850.1	WP_154997083.1	WP_179941473.1	WP_010275627.1,WP_010295735.1	WP_129301964.1	WP_062173956.1	*	WP_003756574.1
40	45	0.132	KXB54994.1	KXB63117.1	WP_003565060.1	WP_012985095.1,WP_012985770.1	WP_003386870.1	WP_013291380.1	WP_013412909.1	WP_013402123.1	WP_013429271.1	NP_464283.1,NP_465161.1	WP_015388504.1	WP_009794351.1,WP_022544598.1	WP_014092992.1	WP_012117151.1	WP_025013703.1,WP_039638925.1	WP_044826420.1	*	WP_006830078.1	WP_008496129.1	WP_065525153.1	WP_075888311.1	*	*	*	WP_066673684.1	WP_003377222.1	WP_021731520.1	*	WP_127350954.1	WP_046132987.1	WP_112224070.1	WP_057814695.1	WP_014975012.1	WP_147000879.1	WP_146992925.1	WP_003762518.1,WP_003770956.1	WP_011679044.1	WP_051618994.1	WP_182070974.1	WP_179941507.1	WP_010278849.1	WP_129302542.1	WP_062174473.1	WP_089866225.1	WP_126320488.1
3	3	0.333	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_082606663.1	*	WP_046132211.1	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_089866567.1	*
40	40	0.492	KXB54997.1	KXB59788.1	WP_003594544.1	WP_012986305.1	WP_011948198.1	*	*	*	*	NP_465791.1	WP_015388464.1	WP_009794015.1	WP_025280065.1	WP_038461775.1	WP_039639030.1	WP_044824214.1	WP_048703139.1	WP_006829756.1	WP_065528150.1	WP_065525784.1	WP_075887674.1	WP_076616797.1	WP_078080605.1	WP_010019779.1	WP_120140756.1	WP_120361718.1	WP_056988511.1	WP_050339655.1	*	WP_046131291.1	WP_135815407.1	WP_057811824.1	WP_135197275.1	WP_147001192.1	WP_048801540.1	WP_153648637.1	WP_105296152.1	WP_031551296.1	WP_154994078.1	WP_179941500.1	WP_010291893.1	WP_129302094.1	WP_072520144.1	WP_181814535.1	WP_126320581.1
33	33	1	KXB54998.1	KXB59637.1	WP_003598114.1	WP_012986422.1	*	*	*	*	*	NP_466036.1	WP_015387627.1	WP_050767289.1	WP_014093725.1	WP_022553867.1	WP_039638822.1	*	WP_198141151.1	WP_065537368.1	*	WP_065525767.1	WP_156866616.1	WP_076615217.1	WP_078080608.1	WP_010020550.1	*	*	WP_021731208.1	WP_056952479.1	*	WP_046130086.1	WP_135815401.1	WP_162256538.1	WP_135198017.1	*	WP_012305430.1	WP_045554312.1	WP_011679154.1	WP_031554034.1	WP_182071113.1	WP_228098617.1	WP_187241125.1	WP_129302208.1	WP_072520233.1	*	WP_036105623.1
45	45	1	KXB55000.1	KXB59636.1	WP_003569531.1	WP_003722643.1	WP_003360537.1	WP_013291148.1	WP_013412651.1	WP_013402591.1	WP_013429577.1	NP_466034.1	WP_003151413.1	WP_009792993.1	WP_014093723.1	WP_003151413.1	WP_010489439.1	WP_044826140.1	WP_048706076.1	WP_006829772.1	WP_201764047.1	WP_197681427.1	WP_057866940.1	WP_076615223.1	WP_177167614.1	WP_010020547.1	WP_066674291.1	WP_003378409.1	WP_021731206.1	WP_003637821.1	WP_011916861.1	WP_046129460.1	WP_233539044.1	WP_057814000.1	WP_014973749.1	WP_029509485.1	WP_004899274.1	WP_003722643.1	WP_010291116.1	WP_006364061.1	WP_043926676.1	WP_179939885.1	WP_004912837.1	WP_129302206.1	WP_062174515.1	WP_089866017.1	WP_003758852.1
28	30	0.317	KXB55001.1	KXB59676.1	*	WP_012986299.1	WP_011987052.1	*	*	*	*	NP_465780.1	WP_003152401.1,WP_003155578.1	WP_009792131.1	WP_025280063.1	WP_003155578.1,WP_022552822.1	WP_025013654.1	*	*	WP_238323464.1	WP_201764050.1	WP_197681410.1	WP_075887581.1	*	*	WP_010019434.1	WP_066676994.1	*	WP_003561273.1	*	*	WP_046131029.1	WP_205854551.1	WP_057815105.1	*	*	*	WP_003723656.1	WP_025268049.1	WP_031554037.1	WP_182069003.1	WP_179939889.1	*	WP_129301993.1	WP_062174512.1	*	WP_036103578.1
6	6	0.333	*	*	*	*	WP_003398109.1	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_008496126.1	WP_065525161.1	*	*	*	*	*	*	*	*	*	WP_046131003.1	*	*	*	*	*	*	*	*	WP_182068978.1	*	*	*	*	WP_168943997.1	*
14	15	0.116	KXB55005.1	*	*	*	WP_011948160.1	*	*	*	*	*	WP_014304702.1	*	*	WP_022553615.1	*	WP_044823805.1	WP_048704015.1	*	*	*	*	*	*	*	*	*	WP_225366511.1	WP_225351395.1	*	WP_046129716.1,WP_046131068.1	*	*	*	*	*	*	*	WP_031550374.1	WP_182069292.1	WP_179939902.1	*	*	WP_062173201.1	*	WP_172465236.1
